"Country or Area","Year","Area","Sex","Religion","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Armenia","2011","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","34373",""
"Armenia","2011","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2013","87214",""
"Armenia","2011","Total","Both Sexes","Yeshiva's witness","Census - de jure - complete tabulation","Final figure, complete","2013","8695",""
"Armenia","2011","Total","Both Sexes","Molokai","Census - de jure - complete tabulation","Final figure, complete","2013","2872",""
"Armenia","2011","Total","Both Sexes","Shar-fadinian","Census - de jure - complete tabulation","Final figure, complete","2013","25204",""
"Aruba","2010","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2012","101484","1"
"Aruba","2010","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2012","880","1"
"Aruba","2010","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2012","450","1"
"Aruba","2010","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2012","1703","1"
"Aruba","2010","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2012","354","1"
"Aruba","2010","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2012","932","1"
"Aruba","2010","Total","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2012","5625","1"
"Aruba","2010","Total","Both Sexes","Protestant","Census - de jure - complete tabulation","Final figure, complete","2012","2698","1"
"Aruba","2010","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2012","76464","1"
"Aruba","2010","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2012","5625","1"
"Aruba","2010","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2012","515","1"
"Aruba","2010","Total","Both Sexes","Other Religions and Persuasions","Census - de jure - complete tabulation","Final figure, complete","2012","11862","1"
"Aruba","2000","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","90506","1"
"Aruba","2000","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2009","691","1"
"Aruba","2000","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2009","397","1"
"Aruba","2000","Total","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2009","3679","1"
"Aruba","2000","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2009","1350","1"
"Aruba","2000","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2009","198","1"
"Aruba","2000","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2009","1045","1"
"Aruba","2000","Total","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2009","3546","1"
"Aruba","2000","Total","Both Sexes","Protestant","Census - de jure - complete tabulation","Final figure, complete","2009","2282","1"
"Aruba","2000","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2009","73158","1"
"Aruba","2000","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2009","610","1"
"Aruba","2000","Total","Both Sexes","Other Religions and Persuasions","Census - de jure - complete tabulation","Final figure, complete","2009","3550","1"
"Australia","2016","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2017","23401892","2"
"Australia","2016","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2017","3101185","2"
"Australia","2016","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2017","13989","2"
"Australia","2016","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2017","345142","2"
"Australia","2016","Total","Both Sexes","Brethren","Census - de jure - complete tabulation","Final figure, complete","2017","17423","2"
"Australia","2016","Total","Both Sexes","Buddhist","Census - de jure - complete tabulation","Final figure, complete","2017","563674","2"
"Australia","2016","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2017","5291834","2"
"Australia","2016","Total","Both Sexes","Church of Christ","Census - de jure - complete tabulation","Final figure, complete","2017","39621","2"
"Australia","2016","Total","Both Sexes","Druze","Census - de jure - complete tabulation","Final figure, complete","2017","3096","2"
"Australia","2016","Total","Both Sexes","Eastern Orthodox","Census - de jure - complete tabulation","Final figure, complete","2017","502801","2"
"Australia","2016","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2017","440300","2"
"Australia","2016","Total","Both Sexes","Islam ","Census - de jure - complete tabulation","Final figure, complete","2017","604240","2"
"Australia","2016","Total","Both Sexes","Judaism","Census - de jure - complete tabulation","Final figure, complete","2017","91022","2"
"Australia","2016","Total","Both Sexes","Latter Day Saints","Census - de jure - complete tabulation","Final figure, complete","2017","61639","2"
"Australia","2016","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2017","174019","2"
"Australia","2016","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2017","260558","2"
"Australia","2016","Total","Both Sexes","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2017","48939","2"
"Australia","2016","Total","Both Sexes","Seventh Day Adventist","Census - de jure - complete tabulation","Final figure, complete","2017","62945","2"
"Australia","2016","Total","Both Sexes","Sikh","Census - de jure - complete tabulation","Final figure, complete","2017","125901","2"
"Australia","2016","Total","Both Sexes","Spiritualist","Census - de jure - complete tabulation","Final figure, complete","2017","10101","2"
"Australia","2016","Total","Both Sexes","United Church","Census - de jure - complete tabulation","Final figure, complete","2017","870183","2"
"Australia","2016","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2017","25065","2"
"Australia","2016","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2017","30549","2"
"Australia","2016","Total","Both Sexes","Other Protestant","Census - de jure - complete tabulation","Final figure, complete","2017","108307","2"
"Australia","2016","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2017","39180","2"
"Australia","2016","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2017","6933708","2"
"Australia","2016","Total","Both Sexes","Jehovah's Witnesses","Census - de jure - complete tabulation","Final figure, complete","2017","82510","2"
"Australia","2016","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2017","2132167","2"
"Australia","2016","Total","Both Sexes","Christian nfd","Census - de jure - complete tabulation","Final figure, complete","2017","612371","2"
"Australia","2016","Total","Both Sexes","Chinese Religions","Census - de jure - complete tabulation","Final figure, complete","2017","6385","2"
"Australia","2016","Total","Both Sexes","Presbyterian and Reformed","Census - de jure - complete tabulation","Final figure, complete","2017","526689","2"
"Australia","2016","Total","Both Sexes","Japanese Religions","Census - de jure - complete tabulation","Final figure, complete","2017","1772","2"
"Australia","2016","Total","Both Sexes","Nature and earth based religions","Census - de jure - complete tabulation","Final figure, complete","2017","27207","2"
"Australia","2016","Total","Both Sexes","Religious belief, nfd and Inadequately described","Census - de jure - complete tabulation","Final figure, complete","2017","106568","2"
"Australia","2016","Total","Both Sexes","Australian Aboriginal Traditional Religion","Census - de jure - complete tabulation","Final figure, complete","2017","8078","2"
"Australia","2016","Total","Both Sexes","Secular Beliefs","Census - de jure - complete tabulation","Final figure, complete","2017","67592","2"
"Australia","2016","Total","Both Sexes","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd","Census - de jure - complete tabulation","Final figure, complete","2017","237","2"
"Australia","2016","Total","Both Sexes","Assyrian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2017","13863","2"
"Australia","2016","Total","Both Sexes","Oriental Orthodox","Census - de jure - complete tabulation","Final figure, complete","2017","51013","2"
"Australia","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2012","21507719","2,3"
"Australia","2011","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2012","3679907","2,3"
"Australia","2011","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2012","13705","2,3"
"Australia","2011","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2012","352499","2,3"
"Australia","2011","Total","Both Sexes","Brethren","Census - de jure - complete tabulation","Final figure, complete","2012","21732","2,3"
"Australia","2011","Total","Both Sexes","Buddhist","Census - de jure - complete tabulation","Final figure, complete","2012","528979","2,3"
"Australia","2011","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2012","5439266","2,3"
"Australia","2011","Total","Both Sexes","Church of Christ","Census - de jure - complete tabulation","Final figure, complete","2012","49688","2,3"
"Australia","2011","Total","Both Sexes","Druze","Census - de jure - complete tabulation","Final figure, complete","2012","2973","2,3"
"Australia","2011","Total","Both Sexes","Eastern Orthodox","Census - de jure - complete tabulation","Final figure, complete","2012","563072","2,3"
"Australia","2011","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2012","275536","2,3"
"Australia","2011","Total","Both Sexes","Islam ","Census - de jure - complete tabulation","Final figure, complete","2012","476291","2,3"
"Australia","2011","Total","Both Sexes","Judaism","Census - de jure - complete tabulation","Final figure, complete","2012","97334","2,3"
"Australia","2011","Total","Both Sexes","Latter Day Saints","Census - de jure - complete tabulation","Final figure, complete","2012","59770","2,3"
"Australia","2011","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2012","251932","2,3"
"Australia","2011","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2012","237984","2,3"
"Australia","2011","Total","Both Sexes","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2012","60162","2,3"
"Australia","2011","Total","Both Sexes","Seventh Day Adventist","Census - de jure - complete tabulation","Final figure, complete","2012","63002","2,3"
"Australia","2011","Total","Both Sexes","Sikh","Census - de jure - complete tabulation","Final figure, complete","2012","72296","2,3"
"Australia","2011","Total","Both Sexes","Spiritualist","Census - de jure - complete tabulation","Final figure, complete","2012","11553","2,3"
"Australia","2011","Total","Both Sexes","United Church","Census - de jure - complete tabulation","Final figure, complete","2012","1065794","2,3"
"Australia","2011","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2012","37674","2,3"
"Australia","2011","Total","Both Sexes","Other Protestant","Census - de jure - complete tabulation","Final figure, complete","2012","60240","2,3"
"Australia","2011","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2012","18893","2,3"
"Australia","2011","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2012","4796786","2,3"
"Australia","2011","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2012","170401","2,3"
"Australia","2011","Total","Both Sexes","Jehovah's Witnesses","Census - de jure - complete tabulation","Final figure, complete","2012","85636","2,3"
"Australia","2011","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2012","1839650","2,3"
"Australia","2011","Total","Both Sexes","Christian nfd","Census - de jure - complete tabulation","Final figure, complete","2012","470939","2,3"
"Australia","2011","Total","Both Sexes","Chinese Religions","Census - de jure - complete tabulation","Final figure, complete","2012","5151","2,3"
"Australia","2011","Total","Both Sexes","Presbyterian and Reformed","Census - de jure - complete tabulation","Final figure, complete","2012","599517","2,3"
"Australia","2011","Total","Both Sexes","Japanese Religions","Census - de jure - complete tabulation","Final figure, complete","2012","1640","2,3"
"Australia","2011","Total","Both Sexes","Nature and earth based religions","Census - de jure - complete tabulation","Final figure, complete","2012","32083","2,3"
"Australia","2011","Total","Both Sexes","Theism, nec","Census - de jure - complete tabulation","Final figure, complete","2012","3882","2,3"
"Australia","2011","Total","Both Sexes","Zoroastrianism","Census - de jure - complete tabulation","Final figure, complete","2012","2541","2,3"
"Australia","2011","Total","Both Sexes","Australian Aboriginal Traditional Religion","Census - de jure - complete tabulation","Final figure, complete","2012","7362","2,3"
"Australia","2011","Total","Both Sexes","Assyrian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2012","10588","2,3"
"Australia","2011","Total","Both Sexes","Oriental Orthodox","Census - de jure - complete tabulation","Final figure, complete","2012","41261","2,3"
"Australia","2006","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2011","19855287","2,3"
"Australia","2006","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2011","3718247","2,3"
"Australia","2006","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2011","12331","2,3"
"Australia","2006","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2011","316742","2,3"
"Australia","2006","Total","Both Sexes","Brethren","Census - de jure - complete tabulation","Final figure, complete","2011","24229","2,3"
"Australia","2006","Total","Both Sexes","Buddhist","Census - de jure - complete tabulation","Final figure, complete","2011","418756","2,3"
"Australia","2006","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2011","5126886","2,3"
"Australia","2006","Total","Both Sexes","Church of Christ","Census - de jure - complete tabulation","Final figure, complete","2011","54820","2,3"
"Australia","2006","Total","Both Sexes","Druze","Census - de jure - complete tabulation","Final figure, complete","2011","2978","2,3"
"Australia","2006","Total","Both Sexes","Eastern Orthodox","Census - de jure - complete tabulation","Final figure, complete","2011","544162","2,3"
"Australia","2006","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2011","148124","2,3"
"Australia","2006","Total","Both Sexes","Islam ","Census - de jure - complete tabulation","Final figure, complete","2011","340393","2,3"
"Australia","2006","Total","Both Sexes","Judaism","Census - de jure - complete tabulation","Final figure, complete","2011","88829","2,3"
"Australia","2006","Total","Both Sexes","Latter Day Saints","Census - de jure - complete tabulation","Final figure, complete","2011","53197","2,3"
"Australia","2006","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2011","251106","2,3"
"Australia","2006","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2011","219689","2,3"
"Australia","2006","Total","Both Sexes","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2011","64202","2,3"
"Australia","2006","Total","Both Sexes","Seventh Day Adventist","Census - de jure - complete tabulation","Final figure, complete","2011","55252","2,3"
"Australia","2006","Total","Both Sexes","Sikh","Census - de jure - complete tabulation","Final figure, complete","2011","26426","2,3"
"Australia","2006","Total","Both Sexes","Spiritualist","Census - de jure - complete tabulation","Final figure, complete","2011","9844","2,3"
"Australia","2006","Total","Both Sexes","United Church","Census - de jure - complete tabulation","Final figure, complete","2011","1135424","2,3"
"Australia","2006","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2011","34093","2,3"
"Australia","2006","Total","Both Sexes","Other Protestant","Census - de jure - complete tabulation","Final figure, complete","2011","56104","2,3"
"Australia","2006","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2011","14881","2,3"
"Australia","2006","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2011","3706554","2,3"
"Australia","2006","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2011","131209","2,3"
"Australia","2006","Total","Both Sexes","Jehovah's Witnesses","Census - de jure - complete tabulation","Final figure, complete","2011","80915","2,3"
"Australia","2006","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2011","2223959","2,3"
"Australia","2006","Total","Both Sexes","Christian nfd","Census - de jure - complete tabulation","Final figure, complete","2011","313192","2,3"
"Australia","2006","Total","Both Sexes","Chinese Religions","Census - de jure - complete tabulation","Final figure, complete","2011","4375","2,3"
"Australia","2006","Total","Both Sexes","Presbyterian and Reformed","Census - de jure - complete tabulation","Final figure, complete","2011","596668","2,3"
"Australia","2006","Total","Both Sexes","Japanese Religions","Census - de jure - complete tabulation","Final figure, complete","2011","1304","2,3"
"Australia","2006","Total","Both Sexes","Nature and earth based religions","Census - de jure - complete tabulation","Final figure, complete","2011","29392","2,3"
"Australia","2006","Total","Both Sexes","Theism, nec","Census - de jure - complete tabulation","Final figure, complete","2011","2613","2,3"
"Australia","2006","Total","Both Sexes","Zoroastrianism","Census - de jure - complete tabulation","Final figure, complete","2011","2111","2,3"
"Australia","2006","Total","Both Sexes","Australian Aboriginal Traditional Religion","Census - de jure - complete tabulation","Final figure, complete","2011","5379","2,3"
"Australia","2006","Total","Both Sexes","Assyrian Apostolic","Census - de jure - complete tabulation","Final figure, complete","2011","8192","2,3"
"Australia","2006","Total","Both Sexes","Oriental Orthodox","Census - de jure - complete tabulation","Final figure, complete","2011","32709","2,3"
"Australia","2001","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","18769258",""
"Australia","2001","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2009","3881162",""
"Australia","2001","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2009","11036",""
"Australia","2001","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2009","309205",""
"Australia","2001","Total","Both Sexes","Brethren","Census - de jure - complete tabulation","Final figure, complete","2009","19351",""
"Australia","2001","Total","Both Sexes","Buddhist","Census - de jure - complete tabulation","Final figure, complete","2009","357813",""
"Australia","2001","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2009","5001624",""
"Australia","2001","Total","Both Sexes","Church of Christ","Census - de jure - complete tabulation","Final figure, complete","2009","61335",""
"Australia","2001","Total","Both Sexes","Druze","Census - de jure - complete tabulation","Final figure, complete","2009","2493",""
"Australia","2001","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2009","95473",""
"Australia","2001","Total","Both Sexes","Islam ","Census - de jure - complete tabulation","Final figure, complete","2009","281579",""
"Australia","2001","Total","Both Sexes","Judaism","Census - de jure - complete tabulation","Final figure, complete","2009","83993",""
"Australia","2001","Total","Both Sexes","Latter Day Saints","Census - de jure - complete tabulation","Final figure, complete","2009","49915",""
"Australia","2001","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2009","250365",""
"Australia","2001","Total","Both Sexes","Oriental Christian","Census - de jure - complete tabulation","Final figure, complete","2009","36326",""
"Australia","2001","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2009","529444",""
"Australia","2001","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2009","194592",""
"Australia","2001","Total","Both Sexes","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2009","71423",""
"Australia","2001","Total","Both Sexes","Seventh Day Adventist","Census - de jure - complete tabulation","Final figure, complete","2009","53844",""
"Australia","2001","Total","Both Sexes","Sikh","Census - de jure - complete tabulation","Final figure, complete","2009","17401",""
"Australia","2001","Total","Both Sexes","Spiritualist","Census - de jure - complete tabulation","Final figure, complete","2009","9279",""
"Australia","2001","Total","Both Sexes","United Church","Census - de jure - complete tabulation","Final figure, complete","2009","1248674",""
"Australia","2001","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2009","32640",""
"Australia","2001","Total","Both Sexes","Other Protestant","Census - de jure - complete tabulation","Final figure, complete","2009","52557",""
"Australia","2001","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2009","12885",""
"Australia","2001","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2009","2905993",""
"Australia","2001","Total","Both Sexes","Jehovah's Witnesses","Census - de jure - complete tabulation","Final figure, complete","2009","81069",""
"Australia","2001","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2009","1835598",""
"Australia","2001","Total","Both Sexes","Christian nfd","Census - de jure - complete tabulation","Final figure, complete","2009","253286",""
"Australia","2001","Total","Both Sexes","Chinese Religions","Census - de jure - complete tabulation","Final figure, complete","2009","4399",""
"Australia","2001","Total","Both Sexes","Presbyterian and Reformed","Census - de jure - complete tabulation","Final figure, complete","2009","637530",""
"Australia","2001","Total","Both Sexes","Japanese Religions","Census - de jure - complete tabulation","Final figure, complete","2009","1210",""
"Australia","2001","Total","Both Sexes","Nature and earth based religions","Census - de jure - complete tabulation","Final figure, complete","2009","24157",""
"Australia","2001","Total","Both Sexes","Theism, nec","Census - de jure - complete tabulation","Final figure, complete","2009","2538",""
"Australia","2001","Total","Both Sexes","Zoroastrianism","Census - de jure - complete tabulation","Final figure, complete","2009","1755",""
"Australia","2001","Total","Both Sexes","Religious belief, nfd and Inadequately described","Census - de jure - complete tabulation","Final figure, complete","2009","352090",""
"Australia","2001","Total","Both Sexes","Australian Aboriginal Traditional Religion","Census - de jure - complete tabulation","Final figure, complete","2009","5224",""
"Australia","1996","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2005","17892423",""
"Australia","1996","Total","Both Sexes","Anglican","Census - de facto - complete tabulation","Final figure, complete","2005","3903324",""
"Australia","1996","Total","Both Sexes","Baptist","Census - de facto - complete tabulation","Final figure, complete","2005","295178",""
